arabic,arabic_romanization,hebrew,hebrew_romanization,pansemitic,meaning
خَابِيَة,ḵābiya,חָבִית,khavít,xabu,"jug, amphora, cask, barrel"
خَاتَم,ḵātam,טַבַּעַת,tabá'at,jibaut,ring
خَتَن,ḵatan,חָתָן,khatán,xatan,a man being related through marriage (son-in-law or brother-in-law or father-in-law or bridegroom)
خَرَاب,ḵarāb,חֻרְבָּן,khurbán,xaraba,"ruination, wreckage, desolation"
خَرُّوب,ḵarrūb,חָרוּב,kharúv,xarub,carob (fruit and tree of Ceratonia siliqua L.)
خَرِيطَة,ḵarīṭa,כַּרְטִיס,kartís,kartis,map
خَرِيف,ḵarīf,חֹרֶף,khóref,xarif,"autumn, fall"
خَرْدَل,ḵardal,חַרְדָּל,khardál,xardal,mustard (plant and condiment)
خَرْطُوش,ḵarṭūš,כַּרְטִיס,kartís,kartis,"cartridge, cartridges"
خَزَف,ḵazaf,חֶרֶס,khéres,xazaf,"earthenware, ceramic, pottery"
خَزِينَة,ḵazīna,גְּנִיזָה,g'nizá,ganjam,"treasury, closet (room where valuables are stored)"
خَزِينَة,ḵazīna,גְּנָזִים,g'nazím,ganjam,"treasury, closet (room where valuables are stored)"
خَسَارَة,ḵasāra,חִסָּרוֹן,khisarón,xasara,"loss, damage"
خَسّ,ḵass,חַסָּה,khása,xasa,lettuce (Lactuca gen. and Lactuca sativa in particular)
خَشِن,ḵašin,אָשׁוּן,ashún,xašin,tough (life)
خَفَرَ,ḵafara,חָפַר,khafár,xapar,"to watch, to guard, to protect"
خَفِرَ,ḵafira,חָפֵר,khafér,xapar,to be shy
خَلَاص,ḵalāṣ,חָלָס,ḥálas,xalaṣ,cut it out! stop it!
خَمْس,ḵams,חָמֵשׁ,khamésh,xamš,"masculine of خَمْسَة (ḵamsa, “five”)"
خَمْسَة,ḵamsa,חֲמִישָּׁה,khamishá,xamš,five
خَوْخَة,ḵawḵa,חוֹחַ,khóakh,xawaxa,"wicket, aperture, sluice gate, canal lock (in a passage)"
خُرْشُوف,ḵuršūf,אַרְטִישׁוֹק,artishók,xaršup,artichoke
خُرْشُوف,ḵuršūf,חֻרְשָׁף,khursháf,xuršuf,artichoke
خُرْطُوم,ḵurṭūm,חַרְטוֹם,khartóm,xurṭum,"trunk (of an elephant), snout, muzzle, nose"
خِرْبَة,ḵirba,חָרְבָּה,khorbáh,xirba,"ruined site, wasteland"
خِطَاب,ḵiṭāb,מִכְתָּב,mikhtáv,xiṭaba,letter
خِطْء,ḵiṭʔ,חֵטְא,khet,xiṭ,sin
خِطْمِيّ,ḵiṭmiyy,חֶלְמִית,khelmít,xiṭmiy,a confectionery marshmallow
خِنْزِير,ḵinzīr,חֲזִיר,khazír,xinizi,"pig, swine, hog"
خْشَايَارْشَا,ḵšāyāršā,אֲחַשְׁוֵרוֹשׁ,Akhashverósh,xšayarša,"Xerxes, Ahasuerus"
خْشَايَارْشَا,ḵšāyāršā,חְשַׁיָארְשָׁ,kh'shayársha,xšayarša,"Xerxes, Ahasuerus"
دَاعِش,dāʕiš,דָאעֵ״ש,"dá'e""sh",daʕiš,"ISIS, ISIL, IS"
دَاوُد,dāwud,דָּוִד,davíd,dawid,"a male given name, Daoud, Dawud, or Davoud, equivalent to English David"
دَاوُود,dāwūd,דָּוִד,davíd,dad,"a male given name, Daoud, Dawud, or Davoud, equivalent to English David"
دَبُّور,dabbūr,דְּבוֹרָה,dvorá,dabr,"wasp, hornet"
دَحَا,daḥā,דָּחָה,dakhá,daxa,to push
دَرَك,darak,דֶּרֶךְ,dérekh,darak,path one takes to reach a goal
دَغْدَغَ,daḡdaḡa,דִּגְדֵּג,digdég,dagdaga,to tickle
دَفْتَر,daftar,דִּפְתָּר,diftar,dptr,notebook; copybook; exercise book
دَقَل,daqal,דֶּקֶל,dékel,daqal,a variety of dates (fruit and tree)
دَلَّاع,dallāʕ,דְּלַעַת,dlá'at,dalaʕa,watermelon
دَلْو,dalw,דְּלִי,dli,dali,"pail, bucket"
دَم,dam,דָּם,dam,dam,blood
دَمْعَة,damʕa,דִּמְעָה,dim'á,dama,a tear (drop of salty liquid resulting from crying)
دَيَّان,dayyān,דַּיָּן,dayán,dayan,judge (said of God)
دُبّ,dubb,דֹּב,dov,dub,bear
دُخَس,duḵas,תַּחַשׁ,tákhash,duxas,whale; dugong
دُرْيَن,duryan,דוּרִיאַן,duri'an,duarian,durian
دُكْتور,duktōr,דּוֹקְטוֹר,dóktor,daktar,doctor
دُوش,dūš,דּוּשׁ,dush,duš,shower (bathing)
دُول,dūl,דּוֹל,dol,daul,dhole (Cuon alpinus)
دُولَار,dōlār,דּוֹלָר,dólar,dala,dollar
دِبْس,dibs,דְּבַשׁ,dvash,dibas,"syrup, molasses"
دِجْلَة,dijla,חִדֶּקֶל,khidékel,ʔidiqlat,"the Tigris (so called because it covers or floods the land with water, like a lake)"
دِكْتَاتُور,diktātūr,דִּיקְטָטוּר,diktator,diktatar,dictator
دِلْهِي,dilhī,דֵלְהִי,delhī,dili,"Delhi (a megacity and union territory of India, containing the national capital New Delhi)"
دِيسِمْبِر,dīsimbir,דֵּצֶמְבֶּר,detsémber,dikimbir,December (twelfth month of the Gregorian calendar)
دِين,dīn,דִּין,din,din,"judgement, decision, ruling, requital, compensation, indemnification"
ذَا,ḏā,זֶה,ze,za,this
ذَقَن,ḏaqan,זָקָן,zakán,zaqan,"beard on the chin; goatee, beard"
ذَكَر,ḏakar,זָכָר,zakhár,zakar,male
ذَنَب,ḏanab,זָנָב,zanáv,zanab,"tail, end"
ذَهَب,ḏahab,זָהָב,zaháv,zahab,gold
ذُبَاب,ḏubāb,זְבוּב,zvuv,zubab,"flies, fly (insect)"
ذِئْب,ḏiʔb,זְאֵב,zəʔeḇ,ziʔb,wolf
رَأَى,raʔā,רָאָה,ra'á,raʔa,to see (to perceive with the eyes)
رَأْس,raʔs,רֹאשׁ,rosh,raʔš,head
رَأْس السَّنَة,raʔs as-sana,רֹאשׁ הַשָּׁנָה,rosh-hashaná,raʔsasasa,"Rosh Hashanah, Jewish New Year"
رَاحِيل,rāḥīl,רָחֵל,rakhél,raxil,"a female given name, equivalent to English Rachel"
رَاعٍ,rāʕin,רֹעֶה,ro'é,raʕi,shepherd
رَبَّ,rabba,רַב,ráv,rab,"to grow, to increase, to become greater"
رَحِم,raḥim,רֶחֶם,rékhem,raxim,"uterus, womb"
رَحِيم,raḥīm,רַחוּם,rakhúm,raxim,merciful
رَعْشَة,raʕša,רַעַשׁ,rá'ash,raʕaša,tremor
رَقِيع,raqīʕ,רָקִיעַ,rakía',raqiʕ,"the firmament, the first heaven"
رَنْد,rand,נֵרְדְּ,nerd,rand,laurel (Laurus nobilis)
رَيْحَان,rayḥān,רֵיחָן,rēḥán,rayxan,basil (Ocimum gen. et spp.)
رُبَّ,rubba,רַב,ráv,rab,many
رُبُع,rubuʕ,רֹבַע,róva,rubu,quarter (area or region)
رُزّ,ruzz,אֹרֶז,órez,ʔaryzda,rice
رُكْبَة,rukba,בֶּרֶךְ,bérekh,birk,knee
رُكْبَة,rukba,בָּרַךְ,barákh,birk,knee
رُمَّان,rummān,רִמּוֹן,rimón,ruman,pomegranate
رُوبُوت,rōbōt,רוֹבּוֹט,robot,rabat,robot
رُوح,rūḥ,רוּחַ,rúakh,rux,"breath, movement of air"
رُوحَانِيّ,rūḥāniyy,רוּחָנִי,rukhaní,ruxani,"spiritual, immaterial, spiritualistic, incorporeal, ghostly, animistic"
رُومَا,rūmā,רוֹמִי,rómi,rama,"Rome, Ancient Rome (an ancient empire based out of the city of Rome, covering vast territories in Europe, Asia and Africa; in full, Roman Empire)"
رُومَان,rūmān,רומנוס,romanos,ramanus,Romans
رُومِيَة,rūmiya,רוֹמִי,rómi,rami,"Rome, Ancient Rome (an ancient empire based out of the city of Rome, covering vast territories in Europe, Asia and Africa; in full, Roman Empire)"
رِئَة,riʔa,רֵאָה,re'á,riʔa,lung
رِبًا,riban,רִבִּית,ribít,riban,interest
رِجْل,rijl,רֶגֶל,régel,rigl,"an extremity; a limb, a leg"
رِمْش,rimš,רִיס,ris,rim,eyelash
رِيق,rīq,רֹק,roq,riq,"saliva, spittle"
رِيُو دِي جَانِيرُو,riyō dī jānērō,רִיוּ דֵה זַ׳נֵירוּ,riu de janeiru,riu ji jani(y)ru,"Rio de Janeiro (a state of the Southeast Region, Brazil)"
زَبَرْجَد,zabarjad,אִזְמַרְגָּד,izmargád,zmaragdas,aquamarine
زَرَافَة,zarāfa,גִ׳ירָפָה,jiráfa,zarapa,giraffe (mammal)
زَرَعَ,zaraʕa,זֶרַע,zéra',zarʕ,to sow
زَرَعَ,zaraʕa,זָרַע,zará',zarʕ,to sow
زَعْتَر,zaʕtar,זַעְתָּר,zá'tar,zaʕtar,"zaatar, wild thyme"
زَعْزَعَ,zaʕzaʕa,זִעְזֵעַ,zi'zéa',zaʕiza,"to shake, to agitate, shock or horrify"
زَعْفَرَان,zaʕfarān,זְעַפְרָן,ze'afrán,zaʕparan,saffron
زَكَرِيَّا,zakariyyā,זְכַרְיָה,z'kharyá,zaxarya,"Zechariah, Zacharias (Hebrew prophet)"
زَنَى,zanā,זָנָה,zaná,zana,"to commit adultery, to fornicate"
زَنَّى,zannā,זָנָה,zaná,zana,to accuse of fornication
زَنْجَبِيل,zanjabīl,זַנְגְּבִיל,zangvíl,zanjabil,ginger
زَوْج,zawj,זוּג,zúg,zdiugas,a pair or couple
زُجَاج,zujāj,זְכוּכִית,zkhukhít,zujaji,glass (substance)
زُرْزُور,zurzūr,זַרְזִיר,zarzír,zurzur,starling
زُمُرُّد,zumurrud,אִזְמַרְגָּד,izmargád,zmaragdas,emerald
زُنْبُور,zunbūr,דְּבוֹרָה,dvorá,zunabu,bee
زُوفَا,zūfā,אֵזוֹב,ʾēzṓḇ,zufa,hyssop
زِمَام,zimām,נֶזֶם,nézem,zimam,reins
زِنًى,zinan,זָנָה,zaná,zina,"adultery, fornication, lust"
زِير,zīr,סִיר,sír,zir,"cask, tub, vat, large jug"
سَارَة,sāra,שָׂרָה,sará,sara,"Sarah, wife of Abraham and mother of Isaac"
سَاعَة,sāʕa,שָׁעָה,sha'á,saʕa,hour (unit of time)
سَافِر,sāfir,סֵפֶר,séfer,safir,writer
سَاق,sāq,שׁוֹק,shok,saq,shank
سَام,sām,שֵׁם,shem,sam,Shem
سَانْدْوِيتْش,sandwitš,סֶנְדְוִיץ׳,séndvich,sanwij,sandwich
سَاو بَاوْلُو,sāw bāwlō,סָאוּ פָּאוּלוּ,sau paulu,saw pawlu,"a municipality, the state capital of São Paulo, Brazil"
سَبَب,sabab,סִבָּה,sibá,saba,"cause, grounds, aetiological reason"
سَبَى,sabā,שָׁבָה,shavá,saba,"to captivate, to captive"
سَبَّحَ,sabbaḥa,שִׁבֵּחַ,shibéakh,sabaxa,"to praise, to glorify"
سَبِيّ,sabiyy,שֶׁבִי,shévi,sabi,captive
سَحَر,saḥar,שַׁחַר,shákhar,šax(a)r,dawn
سَعَلَ,saʕala,הִשְׁתַּעֵל,hishta'él,saʕala,to cough
سَعِير,saʕīr,סַעַר,sá'ar,saʕir,hell
سَفُّود,saffūd,שִׁפּוּד,shipúd,safud,"spit, brochette, skewer"
سَفِينَة,safīna,סְפִינָה,sfiná,spynita,"ship, vessel"
سَقَى,saqā,הִשְׁקָה,hishká,saqa,to give (someone) (a drink)
سَكَر,sakar,סַיְדֶּר,sáider,šikar,wine
سَكَر,sakar,שִׁכֵּר,shikér,šikar,intoxicant
سَكَر,sakar,שֵׁכָר,shekhár,šikar,intoxicant
سَكِرَ,sakira,שִׁכֵּר,shikér,šikar,"to be drunk, to be intoxicated"
سَكِرَ,sakira,שֵׁכָר,shekhár,šikar,"to be drunk, to be intoxicated"
سَكِرَ,sakira,שָׁכַר,shakhár,šikar,"to be drunk, to be intoxicated"
سَلَام,salām,שָׁלוֹם,shalóm,salam,peace
سَلْوَى,salwā,שַׁלְוָה,šalwɔ̂,salwa,"joy, happiness, satisfaction"
سَمِعَ,samiʕa,שֵׁמַע,shéma,šamaʕ,to hear
سَمِعَ,samiʕa,שָׁמַע,shamá,šamaʕ,to hear
سَمِنَ,samina,שָׁמַן,shamán,šamn,to become fat
سَمِنَ,samina,שֻׁמָּן,shumán,šamn,to become fat
سَمِين,samīn,שָׁמֵן,shamén,samin,"fat, corpulent"
سَمّ,samm,סַם,sam,sam,"poison, toxin"
سَنَا,sanā,סֻנָּה,suná,sana,senna
سَنَّ,sanna,שָׁנַן,shanán,sana,"to sharpen, to whet, to hone, to grind"
سَنْدَان,sandān,סַדָּן,sadán,sandan,anvil
سَوْسَن,sawsan,שׁוֹשַׁנָּה,shoshaná,zašašan,lily
سَوْسَن,sawsan,שׁוֹשָׁן,shoshán,zašašan,lily
سَوْط,sawṭ,שׁוֹט,shot,saw,"scourge, switch, whip"
سَوْقَم,sawqam,שִׁקְמָה,šiqmā́,siqma,"fig-mulberry, sycomore (Ficus sycomorus)"
سُؤَال,suʔāl,שְׁאֵלָה,sh'elá,suʔa,question
سُكَّر,sukkar,סֻכָּר,sukár,sukar,sugar
سُكْر,sukr,שִׁכֵּר,shikér,šikar,"drunkenness, intoxication, inebriety"
سُكْر,sukr,שֵׁכָר,shekhár,šikar,"drunkenness, intoxication, inebriety"
سُكْر,sukr,שָׁכַר,shakhár,šikar,"drunkenness, intoxication, inebriety"
سُلَحْفَاة,sulaḥfāh,שַׁלְחוּפָה,shalkhufá,sulaxpah,turtle
سُلَّم,sullam,סֻלָּם,sulám,sulam,"ladder, stairs"
سُلْطَان,sulṭān,סוּלְטָן,sultán,sulṭan,sultan
سُلْطَان,sulṭān,שִׁלְטוֹן,shiltón,sulṭan,authority
سُنِّيّ,sunniyy,סוּנִי,suni,suniy,Sunni
سُوق,sūq,שִׁוֵּק,shivék,suqum,market
سُوق,sūq,שׁוּק,shuk,suqum,market
سِبْتِمْبِر,sibtimbir,סֶפְּטֶמְבֶּר,septémber,siptimbir,September (ninth month of the Gregorian calendar)
سِبْط,sibṭ,שֵׁבֶט,shévet,šabṭ,tribe of the Israelites
سِتَّة,sitta,שִׁישָּׁה,shishá,šids,six
سِفْر,sifr,סֵפֶר,séfer,šiprum,written book
سِكِّين,sikkīn,סַכִּין,sakín,sikin,knife
سِلْبَاح,silbāḥ,צְלוֹפָח,tslofákh,silabax,eel
سِلْسِلَة,silsila,שַׁרְשֶׁרֶת,sharshéret,silsila,chain
سِلْفِي,silfī,סֶלְפִי,sélfi,silfi,selfie
سِمْسِم,simsim,שֻׁמְשֹׁם,shumshóm,simsim,sesame (plant or seed)
سِمْعَان,simʕān,שִׁמְעוֹן,shim'ón,šim(ʔ)an,"a male given name from Hebrew, equivalent to English Simon"
سِنْجَار,sinjār,שִׁנְעָר,shin'ár,sinaja,"Singar (a city in Nineveh Province, Iraq)"
سِيَاج,siyāj,סְיָג,sə'yág,siyaga,fence
شَبُّور,šabbūr,שׁוֹפָר,shofár,šabur,shofar (Jewish ram's horn trumpet)
شَبِعَ,šabiʕa,שָׂבֵעַ,savéa',šabiʕa,"to be full, to be satiated"
شَدَّة,šadda,שַׁדָּה,shadá,šada,shadda
شَرَى,šarā,שָׂרָה,sará,šara,to contend; to wrangle
شَرَّشَ,šarraša,שֹׁרֶשׁ,šóreš,šurš,to take root
شَرَّشَ,šarraša,שֹׁרַשׁ,šoráš,šurš,to take root
شَرِيط,šarīṭ,סֶרֶט,séret,šariṭ,"tape, ribbon, band"
شَرْمُوطَة,šarmūṭa,שַׁרְמוּטָה,sharmúta,šarmuṭa,"whore, slut"
شَعْر,šaʕr,שֵׂעָר,se'ár,saʕr,hair
شَفَة,šafa,שָׂפָה,safá,sapat,lip
شَكْشُوكَة,šakšūka,שַׁקְשׁוּקָה,shakshúka,šakšuka,shakshuka (dish of eggs simmered in a mixture of vegetables and spices)
شَلَّال,šallāl,שְׁלוּלִית,shlulít,šalali,waterfall
شَمَر,šamar,שֻׁמָּר,šumár,šimru,fennel (Foeniculum gen.)
شَمْبَانْيَا,šambānyā,שַׁמְפַּנְיָה,shampánya,šapan,champagne (beverage)
شَمْعُون,šamʕūn,שִׁמְעוֹן,shim'ón,šim(ʔ)an,"a surname from Hebrew, equivalent to English Simon"
شَهِيد,šahīd,שָׂהֵד,sahéd,šahid,witness
شَيْخ,šayḵ,שֵׁיךְ,shékh,šayx,"sheik, chief, chieftain, patriarch"
شَيْطَان,šayṭān,שָׂטָן,śāṭān,saṭan,devil
شَيْقَل,šayqal,שֶׁקֶל,shékel,šiqil,shekel (currency unit)
شُرَّاب,šurrāb,גֶּרֶב,gérev,šurab,"sock, stocking"
شُرَّاب,šurrāb,גָּרַב,garáv,šurab,"sock, stocking"
شُوفَان,šūfān,שִׁיפוֹן,shifón,šufan,oat
شُوكُولَاتَة,šukūlāta,שׁוֹקוֹלָד,shokolád,šakalata,chocolate
شِرْش,širš,שֹׁרֶשׁ,šóreš,šurš,"root, wort"
شِعْر,šiʕr,שִׁיר,shir,šiʕ,"poetry, poem, verses"
شِمَال,šimāl,שְׂמֹאל,s'mól,simaʔl,left side
شِيك,šīk,צֶ׳ק,chek,šik,cheque
صَابُون,ṣābūn,סַבּוֹן,sabón,sapa,soap
صَادِق,ṣādiq,צַדִּיק,tsadík,ṣadiq,"genuine, faithful, authentic"
صَالَة,ṣāla,סָלוֹן,salón,sala,"hall, large room"
صَالُون,ṣālūn,סָלוֹן,salón,sala,"reception hall, salon"
صَبَّار,ṣabbār,צַבָּר,tsabár,ṣabar,cactus
صَدَف,ṣadaf,צֶדֶף,tsédef,ṣadapa,"shell(s), seashell(s)"
صَغِير,ṣaḡīr,צָעִיר,tsa'ír,ṣagir,young (for a person)
صَلَى,ṣalā,צָלָה,tsalá,ṣala,"to roast, to broil, to fry"
صَلِيب,ṣalīb,צָלַב,tzaláv,ṣaliba,"cross, Cross, crucifix (post for crucifixion)"
صَنَوْبَر,ṣanawbar,צְנוֹבָּר,tsnobár,ṣanawbar,pine nut
صَنْعَاء,ṣanʕāʔ,צַנְעָא,tsan'a,ṣanʕaʔ,Sanaa (the capital and largest city of Yemen)
صَيَّاد,ṣayyād,צַיִד,tsáyid,ṣayad,hunter
صَيَّاد,ṣayyād,צַיָּד,tsayád,ṣayad,hunter
صُفَّة,ṣuffa,סַפָּה,sapá,ṣupa,"sofa, sill, shelf, console"
صُورَة,ṣūra,צוּרָה,tsurá,ṣura,"form, shape, figure"
صِدِّيق,ṣiddīq,צַדִּיק,tsadík,ṣidiq,"always truthful, veracious"
صِير,ṣīr,צִיר,tsír,ṣir,brine
ضَأْن,ḍaʔn,צֹאן,tsón,ṣaʔ,sheep
ضَبُع,ḍabuʕ,צָבוֹעַ,tsavóa,ṣabuʕ,hyena
ضَحِك,ḍaḥik,צָחַק,tsakhák,ṣaxik,laughter
ضَفْدَعَ,ḍafdaʕa,צְפַרְדֵּעַ,tz'fardéa,ṣafdaʕa,to have or abound with frogs
طَاهِر,ṭāhir,טָהוֹר,tahór,ṭahir,pure; clean
طَبَّاخ,ṭabbāḵ,טַבָּח,tabákh,ṭabax,cook
طَحَنَ,ṭaḥana,טָחַן,takhán,ṭaxan,"to grind, to mill"
طَحِينَة,ṭaḥīna,טְחִינָה,t'khiná,ṭaxina,"tahini, paste made from ground sesame seeds"
طَرِيق,ṭarīq,דֶּרֶךְ,dérekh,ṭariq,"way, road, path, track, street"
طَرِيّ,ṭariyy,טָרִי,tarí,ṭari,fresh
طَعَام,ṭaʕām,טַעַם,tá'am,ṭaʕam,food
طَقْس,ṭaqs,טֶקֶס,tékes,ṭaqs,"ritual, rite, any ceremonized practice"
طَلّ,ṭall,טַל,tal,ṭal,dew; drizzle
طَيِّب,ṭayyib,טוֹב,tov,ṭab,"charming, pleasant, agreeable"
طُفَيْل,ṭufayl,טַפִּיל,tapil,ṭupayl,parasite
طُوبُوغْرَافْيَا,ṭūbūḡrāfyā,טוֹפּוֹגְרַפְיָה,topográfya,tapagrapia,topography
طِحَال,ṭiḥāl,טְחוֹל,təḥṓl,ṭixal,"spleen, milt"
طِين,ṭīn,טִיט,tít,ṭin,"wet or sticky soil, clay, loam; mud"
ظَبْي,ẓaby,צְבִי,tsví,ṣabi,"gazelle, mountain goat, antelope"
ظَرِبَان,ẓaribān,דׇּרְבָּן,dorbán,ṣariban,skunk
ظَمِئ,ẓamiʔ,צָמֵא,tsamé,ṣamiʔ,thirsty
ظَمِئ,ẓamiʔ,צָמָא,tsamá,ṣamiʔ,thirsty
ظَمِئَ,ẓamiʔa,צָמֵא,tsamé,ṣamiʔ,"to thirst, be thirsty"
ظَمِئَ,ẓamiʔa,צָמָא,tsamá,ṣamiʔ,"to thirst, be thirsty"
ظُفْر,ẓufr,צִפֹּרֶן,tsipóren,ṣupr,fingernail
ظِلّ,ẓill,צֵל,tsél,ṣil,"shadow, shade"
عَالَم,ʕālam,עוֹלָם,'olám,ʕalam,"world, hereunder, worldly life"
عَبَرَ,ʕabara,עִבֵּר,ibér,ʕabar,"to cross, to traverse"
عَبَرَ,ʕabara,עָבַר,avár,ʕabar,"to cross, to traverse"
عَبْد اللّٰه,ʕabd allāh,עוֹבַדְיָה,Ovadyá,ʕabadala,"a male given name, Abd Allah"
عَتِيق,ʕatīq,עַתִּיק,atík,ʕatiq,"antique, ancient, archaic, old"
عَجَلَة,ʕajala,מַעְגָּל,ma'agál,ʕajala,wheel
عَدَسَة,ʕadasa,עֲדָשָׁה,adashá,ʕadasa,lentil
عَدَن,ʕadan,עַדֶּן,áden,ʕadan,"Aden (a port city, the largest city in Yemen; the former capital of South Yemen)"
عَرَق,ʕaraq,עַרַק,ʿaráq,ʕaraq,arrack (a clear raisin liquor that turns cloudy when water is added)
عَرْعَر,ʕarʕar,עַרְעָר,ar'ár,ʕaraʕa,juniper (Juniperus gen.)
عَزَبَ,ʕazaba,עָזַב,azáv,ʕazab,"to escape, to slip out"
عَزَّ,ʕazza,עָזַז,azáz,ʕaza,"to be powerful, to overpower"
عَزِيز,ʕazīz,עָזִיז,,ʕaziz,"a male given name, Aziz"
عَصًا,ʕaṣan,עֵץ,ʿēṣ,ʕiṣ,wooden handle
عَطَسَ,ʕaṭasa,הִתְעַטֵּשׁ,hit'atésh,ʕaṭasa,to sneeze
عَظِيم,ʕaẓīm,עָצוּם,atsúm,ʕaṣim,"magnificent, grandiose"
عَظْم,ʕaẓm,עֶצֶם,étsem,ʕaṣm,bone
عَقِب,ʕaqib,עָקֵב,akév,ʕaqib,heel
عَقْرَب,ʕaqrab,עַקְרָב,akráv,ʕaqrab,scorpion
عَقْعَق,ʕaqʕaq,עַקְעָק,ak'ák,ʕaqaʕa,magpie
عَلَا,ʕalā,עָלָה,ʕālā,ʕala,to rise
عَلَقَة,ʕalaqa,עֲלוּקָה,ʿălūqâ,ʕalaqa,leech
عَلَى,ʕalā,עַל,al,ʕalay,"on, over"
عَلِيّ,ʕaliyy,עֵלִי,eli,ʕali,"a male given name, Ali"
عَمُود,ʕamūd,עַמּוּד,amúd,ʕamud,"column, shaft, pillar, pole"
عَنَان,ʕanān,עָנָן,'anán,ʕanan,"clouds, stratosphere, cloudy sky"
عَنْبَر,ʕanbar,עִנְבָּר,inbár,ʕanbar,ambergris
عَنْز,ʕanz,עֵז,éz,ʕanz,"female goat, she-goat, nanny goat"
عَنْكَبُوت,ʕankabūt,עַכָּבִישׁ,akavísh,ʕanakabu,spider
عَوْرَة,ʕawra,עֶרְוָה,'ervá,ʕawra,"nakedness, awrah"
عَيْر,ʕayr,עַיִר,áyir,ʕayr,a donkey; a wild ass; an onager
عَيْن,ʕayn,עַיִן,áyin,ʕayn,spring (of water)
عُرْيَان,ʕuryān,עָרֹם,aróm,ʕuraya,"naked, nude"
عُصْفُور,ʕuṣfūr,צִפּוֹר,tsipór,ʕuṣafu,any small bird
عُود,ʕūd,עוּד,'úd,ʕud,"oud, lute"
عِبَادَة,ʕibāda,עֲבוֹדָה,avodá,ʕibada,"worship, religious practice"
عِبْرِيّ,ʕibriyy,עִבְרִי,ivrí,ʕibri,"Hebrew, Hebraic"
عِجْل,ʕijl,עֵגֶל,égel,ʕigl,calf (young head of cattle)
عِشْرُونَ,ʕišrūna,עֶשְׂרִים,'esrím,ʕisru,twenty
عِمَاد,ʕimād,עַמּוּד,amúd,ʕimad,"column, pillar"
عِيد الْمِيلَاد,ʕīd al-mīlād,חַג הַמּוֹלָד,khág hamolád,ʕidalamilad,Christmas (Christian holiday)
غَار,ḡār,עָר,'ár,gar,bay laurel (Laurus nobilis); laurel (Laurus gen.)
غَاز,ḡāz,גָּז,gaz,gaz,gas
غَزَّة,ḡazza,עַזָּה,áza,gaza,"Gaza (a city in the Gaza Strip, Palestine in the Levant; in full, Gaza City)"
غَطَا,ḡaṭā,עָטָה,ʿatá,gaṭa,"to cover, to enfold, to envelop, to wrap"
غَطَّى,ḡaṭṭā,עָטָה,ʿatá,gaṭa,"to cover up, to cover over, to enfold, to envelop, to wrap up"
غَيْطَلَة,ḡayṭala,עֲלָטָה,alatá,gayaṭa,darkness
غُرَاب,ḡurāb,עוֹרֵב,'orév,gurayb,"crow, raven"
غُرْلَة,ḡurla,עָרְלָה,orlá,gurla,foreskin; prepuce
غُلَام,ḡulām,עֶלֶם,élem,gulam,"a young male human, a boy-child"
ـَات,-āt,־וֹת,-ót,ʔat,Suffix used to pluralize non-human nouns.
فَاخَ,fāḵa,פּוּחַ,púakh,paxa,to blow noisily (of the wind)
فَانُوس,fānūs,פַּנָּס,panás,panas,lantern
فَتَحَ,fataḥa,פָּתַח,patákh,patax,to begin
فَرَأ,faraʔ,פֶּרֶא,pére,para,"wild-ass, onager, especially a young male"
فَرَس,faras,פָּרָשׁ,parásh,paras,"horse, mare"
فَرْو,farw,פרווה,parvá,parw,"pelt, fur"
فَشَل,fašal,פַשְׁלָה,fáshla,pašal,"disappointment, letdown, flop, dud, fiasco"
فَصْفَص,faṣfaṣ,אַסְפֶּסֶת,aspéset,ʔaspastu,"lucerne, alfalfa (Medicago sativa and its produce)"
فَلْفَلَ,falfala,פִּלְפֵּל,pilpél,pipali,to put pepper on
فَم,fam,פֶּה,pe,pay,mouth
فُرْس,furs,פָּרָס,parás,parsa,Persians
فُسَيْفِسَاء,fusayfisāʔ,פְּסֵיפָס,psefás,psipas,mosaic
فُسْتُق,fustuq,פִיסְטוּק,fístuk,pustuq,pistachio (Pistacia vera tree and fruit)
فُلَان,fulān,פלוני,plóni,pulani,"A placeholder name for a person, used when a name is not known; a generic name; so-and-so"
فُلْكْلُور,folklōr,פוֹלְקְלוֹר,folklór,faukla,folklore
فُول,fūl,פּוֹל,pol,pul,"fava beans, fava (Vicia faba)"
فُولَاذ,fūlāḏ,פְּלָדָה,pladá,palad,steel
فِبْرَايِر,fibrāyir,פֶבְּרוּאָר,fébruar,fibruarius,February (second month of the Gregorian calendar)
فِرْسِك,firsik,אֲפַרְסֵק,afarsék,pirsik,peach (Prunus persica tree and fruit)
فِصْح,fiṣḥ,פֶּסַח,pésakh,pisax,"Passover, Pesach"
فِصْح,fiṣḥ,פַּסְחָא,páskha,pisax,Easter
فِلَسْطِين,filasṭīn,פָּלֶשְׂתִּינָה,palestína,palaistini,"Palestine (a country in Western Asia, in the Middle East; the State of Palestine; the homeland of the Palestinian people)"
فِلَسْطِين,filasṭīn,פָלַסְטִין,falastín,pilasṭin,"Palestine (a country in Western Asia, in the Middle East; the State of Palestine; the homeland of the Palestinian people)"
فِلْفِل,filfil,פִּלְפֵּל,pilpél,pipali,"pepper (including sweet peppers, chilis as well as black pepper)"
فِي,fī,בְּ־,b'-,ba,"during, for a duration of"
فِيدِيُو,fīdiyū,וִידֵאוֹ,víde'o,widiau,video
فِيل,fīl,פִּיל,píl,pil,elephant
