date,OpenAI ChatGPT_daily_tokens,OpenAI API_daily_tokens,OpenAI (Inference)_daily_tokens,OpenAI (Revenue)_daily_tokens,Gemini Assistant_daily_tokens,Gemini API_daily_tokens,Meta_daily_tokens,Anthropic_daily_tokens,xAI_daily_tokens,us_total_daily_tokens,global_total_daily_tokens
2026-02-01,3728486690486.537,13842182261311.24,2543821196399.4077,1421018527534.8103,145214247470.8222,15067397314699.725,175457117606.8015,1025568251184.6119,61842354760.8094,23653982177633.434,31538642903511.242
2026-03-01,4255482687822.7236,15480153635263.88,2852216851239.534,1557721812588.7627,154096117433.35828,17098967429245.348,187013847578.05853,1245832477808.197,71017625994.25093,26805452493697.51,35740603324930.016
2026-04-01,4926253971559.241,17520640306104.174,3237449988009.754,1724463506121.861,164564658036.74066,19669216608589.152,200698762511.84198,1545282097819.1782,82771998300.80571,30798803382522.734,41065071176696.98
2026-05-01,5675892850794.215,19751042020695.555,3659727414161.9824,1902801417183.657,175372157307.84656,22523838079612.06,214894964551.45825,1903435727571.1787,95996414185.21222,35243358577506.23,46991144770008.3
2026-06-01,6570556561860.829,22354487627754.223,4154026531308.3076,2106481129564.5288,187286088560.974,25909532366660.86,230620106553.84113,2360947564425.5166,111885111908.15926,40528788521605.31,54038384695473.75
2026-07-01,7570412575260.593,25200244784045.477,4695857799223.113,2324325950869.8833,199585778480.81616,29669819767530.41,246932761330.9346,2908149878520.193,129760906639.78003,46417862795635.164,61890483727513.55
2026-08-01,8763700325211.735,28521966570221.707,5330101310206.615,2573126501929.638,213144665366.99564,34129669768655.33,265002299372.8073,3607155877775.683,151238082004.65546,53429175595698.7,71238900794264.94
2026-09-01,10145080288111.328,32281534723351.2,6050008580280.278,2848559167209.978,227624677069.78064,39259906788940.3,284394092927.8817,4474175702801.148,176270018765.76166,61530765533489.13,82041020711318.84
2026-10-01,11688879422470.914,36391018688473.086,6839142639784.385,3143147072151.2715,242573534016.74503,44957753078412.125,304510390365.63696,5511165822836.791,204432538506.30392,70574497971764.16,94099330629018.88
2026-11-01,13531341307715.035,41187830808138.61,7762867766361.145,3479595892214.747,259052799896.05222,51715624770533.27,326793225795.00806,6835835504240.897,238268873296.8357,81362787098571.9,108483716131429.2
2026-12-01,15590435213764.887,46431098568337.74,8775418950808.61,3839443381335.6533,276065644448.8446,59221187182881.67,349908578378.7262,8420193015205.515,276336900377.0161,93422490026040.73,124563320034720.97
2027-01-01,18047880587057.79,52551324502340.914,9960666197144.049,4250425166692.1904,294820201385.3845,68123081895880.0,375513469095.18506,10444079567955.262,322074374188.43787,107829668326249.25,143772891101665.66
2027-02-01,20892681263773.32,59478276243792.15,11305998226077.404,4705399273622.198,314848851686.8853,78363074226485.98,402992021874.00195,12954429646066.51,375382015095.8802,124538178430297.62,166050904573730.16
2027-03-01,23845718330453.188,66516452162894.01,12676660885657.264,5158062997374.301,334106235912.2081,88928938811946.55,429535658523.75964,15736689553239.531,431075751500.0317,141925977469914.97,189234636626553.28
2027-04-01,27604404305585.445,75284190340943.28,14388827278136.088,5710192493528.22,356803788288.91113,102296385293561.88,460967336038.8207,19519176999094.867,502424586447.98456,164131629476163.47,218842172634884.62
2027-05-01,31805027096261.1,84867971771554.66,16265636795152.17,6300720386662.193,380236259925.6782,117142805650716.14,493573343939.26636,24043182099434.566,582696560281.3682,189055612597507.06,252074150130009.4
2027-06-01,36818300658769.164,96054680202285.47,18462546290803.094,6975162240950.443,406067661729.94946,134751249045605.3,529691039569.0184,29822226932312.562,679140678419.4584,218958605155239.03,291944806873652.0
2027-07-01,42421022280635.12,108282573685361.61,20870712148745.04,7696508827268.9375,432735453043.91943,154307890086708.3,567158141618.9076,36734193904687.414,787646440752.5663,252586563007481.3,336782084009975.06
2027-08-01,49107644142343.08,122555632822533.89,23689603673129.785,8520358699419.668,462133394641.3769,177502842033464.66,608660474320.7484,45563663839110.805,918012520734.7545,293013058708081.1,390684078277441.5
2027-09-01,56848246071448.56,138710067791519.58,26889227266923.88,9432395128241.1,493528489381.99835,204184367450455.28,653199779417.7095,56515394562116.06,1069955940410.1545,340209758307825.5,453613011077100.6
2027-10-01,65498968449447.734,156368051040311.1,30396528915923.06,10407860040956.457,525940119272.02655,233817936034817.3,699403133762.256,69614099146770.41,1240901944184.93,393455416527686.44,524607222036915.25
2027-11-01,75823256050440.39,176979404868562.88,34502019764588.875,11521938431112.385,561669932490.1494,268964523727577.78,750582618671.4496,86346618091467.88,1446287906382.7644,457678555314824.8,610238073753099.8
2027-12-01,87361447344255.58,199509127593926.75,39002297500846.19,12713496515060.59,598556633792.9982,307999728822791.8,803674239012.0878,106359374810780.25,1677360166993.6821,530300817658067.2,707067756877422.9
2028-01-01,101131812419809.4,225807039433629.62,44270121860317.25,14074374896881.152,639219659757.8048,354297030312976.75,862483860533.4698,131924027313363.47,1954985835536.4148,618105529852380.4,824140706469840.5
2028-02-01,117025923612487.6,255484912641282.5,50232051452409.33,15576595958024.355,682522554140.817,407397653242798.9,925418348067.948,163537151805877.12,2277608965298.6333,720926849470917.9,961235799294557.1
2028-03-01,134148682086054.4,286769648063255.4,56534180297259.31,17126731230715.314,725683615856.8969,464254973940422.8,988443549757.9945,199935579524830.7,2627453261637.1123,833391881118266.9,1111189174824355.8
2028-04-01,155231801417250.56,324459851505854.4,64147730662952.42,18954743952546.45,774843870071.9187,533835654006320.2,1060569175647.7393,247846399825880.88,3061050876087.719,974176560266876.4,1298902080355835.0
2028-05-01,178784558901730.53,365644309057295.2,72490565574073.73,20909353541654.49,825586910599.9563,611085674585340.6,1135375315841.628,305116509421645.44,3548675105879.3047,1134321417030891.5,1512428556041188.5
2028-06-01,206882756597726.9,413701028061942.25,82252988397494.89,23141102482221.047,881514950747.1442,702672753244738.0,1218222389197.6345,378231971354783.6,4134298105473.6904,1329131385224735.2,1772175180299647.0
2028-07-01,238272325934551.2,466213079553456.06,92950531335564.78,25527408566202.97,939243675977.533,804354767627071.4,1304148434312.0364,465630402267350.0,4792890207015.957,1551342567341652.0,2068456756455536.0
2028-08-01,275719759654230.12,527487576121148.56,105468331153661.12,28252063200282.33,1002871208516.4686,924908245537511.0,1399310694312.5361,577210014974381.5,5583840817034.019,1822413526608196.2,2429884702144261.5
2028-09-01,319052519278709.2,596815394430291.9,119671923511490.52,31267532425117.12,1070809084580.4297,1063529796916948.1,1501416838529.367,715527593912611.1,6505318695668.592,2143737391996873.5,2858316522662498.0
2028-10-01,367461199347977.06,672570586217147.8,135236045438087.6,34491834418269.08,1140934319967.0266,1217430530376130.8,1607317708638.944,880865253652505.6,7541613467279.347,2511838871331682.5,3349118495108910.0
2028-11-01,425212257315644.0,760966699248052.6,153448504481204.84,38173302368371.05,1218225056572.6646,1399894152720495.0,1724601893221.5012,1091948128333860.1,8786174372040.563,2962838203513947.5,3950450938018596.5
2028-12-01,489728168904494.75,857558005007089.4,173405493247890.6,42109726043845.305,1298004281531.0767,1602469329733960.2,1846244888290.211,1344265648486244.2,10185808577555.428,3480998833702021.5,4641331778269362.0
2029-01-01,566694988587734.9,970267058740060.0,196758294147962.8,46604285681876.02,1385935466772.0537,1842641028490903.5,1980963323294.6953,1666393756322598.2,11866729933974.422,4117709955923420.5,5490279941231227.0
2029-02-01,656020396036504.5,1098160944495744.0,223333347446249.2,51592902685036.65,1480089180371.0051,2119619542596381.8,2125922185524.6294,2066929932740063.0,13830833348472.705,4880355516938658.0,6507140689251544.0
2029-03-01,748744375382941.9,1228108387544832.0,250408770054886.66,56556187220635.8,1570617209555.286,2405412478629507.5,2265949042075.819,2510850386200135.5,15882851707857.447,5697254856190231.0,7596339808253641.0
2029-04-01,866765352721960.8,1389989132024257.2,284230096059988.25,62610075893653.55,1677317302357.5027,2766984572076892.0,2431762003451.059,3114361056731724.0,18511677293762.97,6771831270974807.0,9029108361299742.0
2029-05-01,998662938864588.9,1566936668710467.2,321303704561658.94,69084988297804.86,1787472214954.805,3168560991037604.5,2603769963446.409,3836183770138493.0,21469273150769.88,8015934709983442.0,1.0687912946644588e+16
2029-06-01,1156077378227068.8,1773479411236097.5,364700416810251.2,76479985179381.47,1908904381911.983,3644846551589210.5,2794303289819.115,4758252983069790.0,25022726624207.156,9556404532772540.0,1.2741872710363386e+16
2029-07-01,1332000210287495.2,1999245790233501.2,412270187431605.44,84389274501276.73,2034268375386.07,4173828332197480.5,2991955201399.8325,5861084355784858.0,29020587618679.375,1.1344927986662432e+16,1.5126570648883242e+16
2029-08-01,1541957001686501.8,2262772527939800.0,467953238820790.6,93422473133160.84,2172466672919.794,4801221704920871.0,3210894349206.2217,7269860828103682.0,33823885203585.69,1.356565819311035e+16,1.8087544257480464e+16
2029-09-01,1785008273037568.2,2561035535607040.0,531157091632463.7,103422603617554.38,2320053490509.7417,5522922368892791.0,3445854575945.113,9017252312341034.0,39422193144339.73,1.6245570617076162e+16,2.1660760822768216e+16
2029-10-01,2056636899769029.5,2887058897193732.5,600438671384356.8,114118203159237.8,2472418990531.0923,6324471972558724.0,3689593237544.317,1.110720187599182e+16,45720645373577.164,1.936964072998765e+16,2.582618763998353e+16
2029-11-01,2380814689842430.5,3267611011626126.0,681536597972356.4,126333646445641.39,2640383109432.857,7275141594246099.0,3959582707574.5596,1.37769407376666e+16,53288027136788.17,2.3264068973495348e+16,3.101875863132713e+16
2029-12-01,2743108486725185.5,3683582407399301.5,770432958221023.5,139398624929685.11,2813785703107.293,8330993274208748.0,4239659352821.155,1.6970054369832666e+16,61801812559214.95,2.7815410394081624e+16,3.7087213858775496e+16
2030-01-01,3175491493787846.5,4169126735983778.5,874491071837740.5,154320135695633.2,3004940615850.977,9583275244725212.0,4549900430381.997,2.104899469537083e+16,72030843787288.3,3.3502998770697896e+16,4.467066502759719e+16
