date,OpenAI ChatGPT_daily_tokens,OpenAI API_daily_tokens,OpenAI (Inference)_daily_tokens,OpenAI (Revenue)_daily_tokens,Gemini Assistant_daily_tokens,Gemini API_daily_tokens,Meta_daily_tokens,Anthropic_daily_tokens,xAI_daily_tokens,total_daily_tokens
2027-02-01,18904497967217.566,63401403910107.94,7596016604898.626,5725193954477.111,488598430639.0317,67270913418160.14,314929013668.56476,8492227577853.127,1127733828655.931,109570106414543.88
2027-03-01,21478787066848.94,71166846635751.0,8430107921996.833,6307752616488.788,529501280081.6003,75510296034845.9,332113518044.2927,10053934444682.594,1347035410850.8667,123567378768867.1
2027-04-01,24739723975470.08,80878460561587.77,9460809133738.686,7022118416483.435,578792437727.6385,85814628419690.9,352235102954.09845,12120082924066.012,1639909527150.891,141206019107349.53
2027-05-01,28366109997555.27,91536842571291.05,10578094802636.807,7790379767312.981,630858152242.0532,97123511963799.86,372867601368.58057,14523014166284.332,1983830705649.5288,160724558302276.4
2027-06-01,32672689077504.215,104028199390708.72,11871418118524.375,8672656104557.921,689584598813.7635,110377240292368.03,395458332228.35913,17507587399852.047,2415157647854.5923,183800015834881.84
2027-07-01,37461901078916.46,117737316517718.03,13273387563829.31,9621496055554.338,751616706552.4855,124923051180057.72,418622671456.0195,20978646880440.637,2921663556113.9136,209358301399960.16
2027-08-01,43149414787898.15,133804058501287.31,14896248952142.203,10711150032928.934,821584540372.0024,141970377299539.66,443985540388.4589,25289894341810.508,3556895284417.0493,239603027764613.22
2027-09-01,49700414098489.22,152063310095298.4,16717528345887.434,11924209537218.002,898065664445.5525,161344026103951.94,470885055958.4963,30487131008271.48,4330239886054.0283,274332168410979.2
2027-10-01,56985575693554.37,172102623868110.25,18691805025209.555,13228788694575.084,978851845211.4855,182606377702372.16,498467585606.9768,36531518661751.484,5238376085116.72,312856522973875.25
2027-11-01,65637198639452.09,195588197806497.94,20977145410805.453,14726975892663.723,1069972948085.6177,207525321346350.34,528667975845.869,44038981749721.35,6377310336148.875,358516760272625.2
